u,v,k,route_id
7192613346,7192613342,0,44
7192613346,7192613342,0,44
7192613346,7192613342,0,44
7192613346,7192613342,0,44
7192613346,7192613342,0,44
7192613346,7192613342,0,44
7192613342,12060570482,0,44
12060570482,6968367051,0,44
8324595301,6968367051,0,44
8324595301,10214564625,0,44
87254769,10214564625,0,44
10214564624,87254769,0,44
10214564624,6972003574,0,44
87254775,6972003574,0,44
87254775,1670874045,0,44
87254775,1670874045,0,44
87254775,1670874045,0,44
87254775,1670874045,0,44
1670874045,1450966851,0,44
6968367058,1450966851,0,44
1450966851,6968367058,0,44
8014113170,8014113156,0,45
8014113170,8014113156,0,45
6968367053,6968367051,0,46
6968367051,6968367053,0,46
8324595301,6968367051,0,46
8324595301,10214564625,0,46
87254769,10214564625,0,46
10214564624,87254769,0,46
10214564624,6972003574,0,46
87254775,6972003574,0,46
87254775,1670874045,0,46
87254775,1670874045,0,46
87254775,1670874045,0,46
309060469,393747301,0,47
393747301,309060469,0,47
310220568,710121694,0,48
310220568,710121694,0,48
310220568,710121694,0,48
310220568,710121694,0,48
310220568,710121694,0,48
310220568,710121694,0,48
310220568,710121694,0,48
710121694,310220568,0,48
310220568,710121694,0,48
310220568,710121694,0,48
310220568,710121694,0,48
710121694,310220568,0,48
310220568,354651812,0,48
310220568,354651812,0,48
1412555463,354651812,0,48
1412555463,354651812,0,48
1412555463,354651812,0,48
1412555463,354651812,0,48
354651812,1412555463,0,48
1412555463,1412555479,0,48
310220562,1412555479,0,48
8045656510,292550816,0,49
8045656510,292550816,0,49
8014113156,8014113170,0,50
8014113170,8014113156,0,50
393747301,309060469,0,51
309060469,393747301,0,51
292550816,8045656510,0,52
8045656510,292550816,0,52
411746956,291880662,0,53
268209257,8014113170,0,54
393747301,309060469,0,55
8934896891,393747301,0,55
8934896891,393747301,0,55
8045656510,292550816,0,56
7207494852,290968256,0,57
290968256,291324760,0,57
8934896891,393747301,0,58
8934896891,393747301,0,58
6496497533,292260664,0,59
8045656510,292550816,0,60
292550816,8045656510,0,60
292550827,292550824,0,61
292550827,292550824,0,61
310220562,310420028,0,62
310220562,1412555479,0,62
310220562,1412555479,0,62
310220562,1412555479,0,62
310220562,1412555479,0,62
310220562,310420028,0,63
310420028,310416378,0,63
310416398,310416378,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416398,310416378,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416398,310416378,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416378,310416398,0,63
310416398,312842757,0,63
310416411,312842757,0,63
312842757,310416411,0,63
312842757,310416411,0,63
312842757,310416411,0,63
312842757,310416411,0,63
292550827,292550824,0,64
292550827,292550824,0,64
292550770,292550771,0,64
1412555491,584359459,0,65
1412555491,584359459,0,66
8045656510,292550816,0,67
291324760,290968256,0,68
290968256,291324760,0,68
290968256,291324760,0,69
290968256,291324760,0,69
8045656510,292550816,0,70
8045656510,292550816,0,71
290968256,291324760,0,72
291324762,290968256,0,72
290968256,291324760,0,73
291324782,290968256,0,73
291324782,291324771,0,73
268209257,8014113170,0,74
8014113170,268209257,0,74
268209257,290966452,0,74
292550770,292550771,0,75
292315112,8045656510,0,76
8045656510,292260664,0,76
292260668,292260664,0,76
292550770,292550771,0,77
292550770,292550771,0,78
292550770,292550771,0,78
292550770,292550771,0,79
292550770,292550771,0,79
291324762,290968256,0,80
291324762,290968256,0,80
292550770,292550771,0,81
292550770,292550771,0,81
1412555491,584359459,0,82
268209257,290966452,0,83
3147922294,268209257,0,83
3147922294,268209257,0,83
1412555491,584359459,0,84
1412555491,584359459,0,85
292550770,292550771,0,86
292550770,292550771,0,86
1412555491,584359459,0,87
1412555491,584359459,0,88
6972003574,6972003573,0,89
6972003574,6972003573,0,90
6972003574,87254775,0,90
87254775,6972003574,0,91
292260668,292260664,0,92
292260663,292260664,0,93
292260664,292260663,0,93
1412555491,584359459,0,94
310420028,310416378,0,95
310416378,310416398,0,95
623936834,623936833,0,96
623936834,623936833,0,96
1450966851,6968367058,0,97
6968367058,1450966851,0,97
1670874045,1450966851,0,97
310420028,310220545,0,98
310420028,310220545,0,98
1450966851,6968367058,0,99
1412555463,354651812,0,100
1412555463,354651812,0,100
1450966851,6968367058,0,101
1450966851,6968367058,0,101
623979180,623936834,0,102
623979180,623936834,0,102
638356284,615289109,0,103
1412555491,584359459,0,104
1412555491,584359459,0,105
291880662,10214633698,0,106
7431916315,1451001193,0,107
1451001193,7431916315,0,107
1451001193,1451001172,0,107
7192613342,1451001172,0,107
7192613342,12060570482,0,107
12060570482,6968367051,0,107
8324595301,6968367051,0,107
8324595301,10214564625,0,107
87254769,10214564625,0,107
10214564624,87254769,0,107
10214564624,6972003574,0,107
87254775,6972003574,0,107
87254775,1670874045,0,107
87254775,1670874045,0,107
87254775,1670874045,0,107
87254775,1670874045,0,107
1670874045,1450966851,0,107
391934987,1450966851,0,107
391934987,1450966851,0,107
1412555491,584359459,0,108
1412555491,584359459,0,109
292260666,291324762,0,110
3147922294,268209257,0,111
268209256,3147922294,0,111
638356284,615289109,0,112
724239391,638356284,0,112
724239391,614616710,0,112
3147922294,268209257,0,113
3149566891,3147922294,0,113
3149566891,290968199,0,113
87254775,1670874045,0,114
1670874045,87254775,0,114
1670874045,87254775,0,115
87254775,1670874045,0,115
1670874045,1450966851,0,115
87254775,1670874045,0,116
6968367058,1450966851,0,117
1670874045,1450966851,0,117
1670874045,87254775,0,118
6968367058,1450966851,0,119
393747301,8934896891,0,120
8934896891,393747301,0,120
3149566890,268209256,0,121
3149566890,268209256,0,121
3149566890,268208616,0,121
87254775,1670874045,0,122
1670874045,87254775,0,122
1412555491,584359459,0,123
1670874045,1450966851,0,124
291827077,292260668,0,125
391934987,1450966851,0,126
87254775,1670874045,0,127
87254775,1670874045,0,127
391934987,1450966851,0,128
391934987,1450966851,0,128
1670874045,1670874083,0,129
8934896891,6620854584,0,130
8934896891,6620854584,0,130
87254775,1670874045,0,131
1670874045,87254775,0,131
8934896891,309060449,0,132
309060449,8934966570,0,132
87254775,1670874045,0,133
87254775,1670874045,0,133
87254775,1670874045,0,134
87254775,1670874045,0,134
87254775,1670874045,0,134
1670874045,1670874083,0,134
87254775,1670874045,0,134
1670874045,87254775,0,134
1670874045,87254775,0,135
1670874045,87254775,0,136
3149566891,3149566890,0,137
292553609,292344273,0,138
3149566890,268208616,0,139
3149566890,268208616,0,139
3149566890,268208616,0,139
291324771,291324782,0,140
87254775,1670874045,0,141
291324782,290968199,0,142
87254775,1670874045,0,143
291880662,411746956,0,144
411746956,291880662,0,144
391934987,1450966851,0,145
1450966851,1670874045,0,145
87254775,6972003574,0,146
87254775,6972003574,0,146
87254775,1670874045,0,147
1670874045,87254775,0,147
1670874045,1670874083,0,148
1670874045,1670874083,0,148
